Parameter,PD_mean,IA_mean,DY_mean,KW_H,KW_p,Significant_0.05,MW_PD_IA_p,MW_PD_DY_p,MW_IA_DY_p
NO3,24.5353,30.644,27.6933,0.4924,0.781779,No,0.533829,0.61867,0.835705
Cl,51.6273,90.7613,68.2307,8.4553,0.014587,Yes,0.00619,0.097091,0.146576
SO4,16.038,18.402,21.9113,4.121,0.127387,No,0.361496,0.064895,0.18441
Iron,0.264,0.3127,0.302,0.9171,0.632214,No,0.430032,0.417943,0.884446
F,0.098,0.1013,0.092,0.0917,0.955184,No,0.966789,0.738815,0.884112
TDS,292.4795,341.8893,324.7171,3.6181,0.163813,No,0.077898,0.198506,0.493682
EC,452.4493,528.0964,501.8673,3.654,0.160895,No,0.077898,0.198506,0.467871
Na,29.178,37.3127,35.942,2.618,0.270094,No,0.171069,0.171069,0.868226
PIG,3.0471,3.6028,3.4851,0.9901,0.609527,No,0.430648,0.383733,0.835705
CAI_1,-0.0919,0.14,-0.1292,1.6379,0.4409,No,0.262753,0.933886,0.299758
Na_Cl_meq,0.9359,0.7543,0.9707,1.2761,0.528312,No,0.299758,0.835705,0.406787
NBL_total_exceed,1.8667,2.8667,2.8,6.1978,0.0451,Yes,0.033206,0.036337,0.745647
